Big	Grande<br>Questa scarpa è più grande dell’altra.<br>This shoe is bigger than the other one.
Ocean	Oceano<br>Nuotare nell'oceano è un'esperienza da fare una volta nella vita.<br>Swimming in the ocean is an experience to do once in a life.
Drizzle	Pioggerella<br>È solo una pioggerella. Non è il caso di prendere l’ombrello.<br>It's just a drizzle. There is no need to take an umbrella.
Seed	Seme<br>Ho piantato un seme di pesca due mesi fa e ora è cresciuta una pianta.<br>I planted a peach seed two months ago and now a plant has grown.
Beach	Spiaggia<br>Meglio non andare in spiaggia nelle ore più calde.<br>It is better not to go to the beach during the hottest hours.
Sponge	Spugna<br>Usa la spugna nuova per pulire lo specchio.<br>Use the new sponge to clean the mirror.
Pond	Stagno<br>Ci sono sempre più anatrelle nello stagno.<br>There are more and more ducklings in the pond.
Star	Stella<br>Se vedi una stella cadente il 10 Agosto, esprimi un desiderio!<br>Make a wish if you see a shooting star on August 10th!
Strait	Stretto<br>La nave ha passato lo stretto con molta difficoltà.<br>The ship passed the strait with much difficulty.
Temperature	Temperatura<br>È difficile lavorare considerando la temperatura.<br>It is difficult to work considering the temperature.
Sandstorm	Tempesta di sabbia<br>I turisti sono stati sorpresi da una tempesta di sabbia nel deserto.<br>Tourists were surprised by a desert sandstorm.
Mainland	Terraferma<br>Andrò alla prima banca disponibile, non appena raggiungiamo la terraferma.<br>I will go to the first available bank as soon as we reach the mainland.
Earthquake	Terremoto<br>Queste sono le rovine della città dopo il terremoto.<br>These are the ruins of the city after the earthquake.
Typhoon	Tifone<br>Secondo le notizie, il tifone ha distrutto migliaia di case.<br>According to the news, the typhoon has destroyed thousands of houses.
Thunder	Tuono<br>Ho sentito un tuono che mi ha fatto spaventare molto.<br>I heard a thunder that scared me very much.
Hurricane	Uragano<br>Che disordine! Sembra sia appena passato un urgano.<br>What a mess! It seems that a hurricane has just passed.
Windy	Ventoso<br>Mi piace fare surf quando il tempo è ventoso.<br>I like surfing when the weather is windy.
Rose	Rosa<br>Per il suo compleanno le ha regalato una rosa.<br>He gave her a rose for her birthday.
Sky	Cielo<br>Quando il cielo è limpido è piacevole stare all’aria aperta.<br>When the sky is clear it is a pleasure to be in the open air.
Dandelion	Dente di leone<br>Il dente di leone non è un fiore molto conosciuto.<br>The dandelion is not a very well known flower.
Sunflower	Girasole<br>Il girasole è il mio fiore preferito. Amo il suo colore.<br>The sunflower is my favorite flower. I love its colour.
Sunny	Sereno<br>Dopo un temporale, il cielo è sereno.<br>After a storm, the sky is sunny.
Flower	Fiore<br>Le ha regalato un fiore per il loro primo anniversario.<br>He gave her a flower for their first anniversary.
Archipelago	Arcipelago<br>C’è un bellissimo arcipelago di isole al largo della Sicilia.<br>There is a beautiful archipelago of islands off the coast of Sicily.
Mountain range	Catena montuosa<br>La catena montuosa delle Alpi divide l’Italia dalla Svizzera.<br>The mountain range of the Alps divides Italy from Switzerland.
Rain forest	Foresta pluviale<br>Nella foresta pluviale ci sono migliaia di specie animali.<br>In the rainforest there are thousands of animal species.
Forest	Foresta<br>Non comportarti come se vivessi nella foresta!<br>Don’t behave as if you lived in the forest!
Grassland	Prateria<br>La prateria americana si estende per migliaia di chilometri.<br>The American grassland extends for thousands of kilometers.
Heavy rain	Pioggia torrenziale<br>Che pioggia torrenziale! Starò a casa stasera.<br>What a heavy rain! I will stay at home tonight.
Scenery	Paesaggio<br>Molte persone scelgono l'Italia per le loro vacanze per lo splendido paesaggio.<br>Many people choose Italy for their holidays because of its beautiful scenery.
Freeze	Gelare<br>Le temperature rigide hanno fatto congelare il mio giardino.<br>The harsh temperatures made my garden freeze.
Weather report	Previsioni del tempo<br>Non credo nelle previsioni del tempo, soprattutto quando sono brutte.<br>I do not believe in weather reports, especially when they are bad.
Clear sky	Cielo sereno<br>Il cielo sereno migliora l’umore.<br>The clear sky makes the mood better.
Ice over	Ghiacciarsi<br>Il campo era ghiacciato per la maggior parte dell'inverno.<br>The field was iced over for most of the winter.
Muggy	Afoso<br>Il clima ad Orlando è davvero afoso.<br>The weather in Orlando is really muggy.
Cloudy	Nuvoloso<br>Il cielo è così nuvoloso oggi. Penso che la partita verrà rinviata.<br>The sky is so cloudy today. I think the match will be postponed.
Below zero	Sotto zero<br>Quando la temperatura è sotto zero, è persino difficile respirare.<br>When the temperature is below zero, it is even hard to breathe.
Extreme heat	Caldo estremo<br>Non sopporto il caldo estremo dell'estate.<br>I can’t bear the extreme heat of the summer.
Become cloudy	Annuvolarsi<br>Il cielo sta per annuvolarsi. Corriamo a casa!<br>The sky is becoming cloudy. Let's run home!
Tornado	Tornado<br>Un tornado può essere più pericoloso di un terremoto.<br>A tornado can be more dangerous than an earthquake.
Avalanche	Valanga<br>Lo scorso inverno una valanga ha distrutto un intero villaggio.<br>Last winter, an avalanche destroyed a whole village.
Tsunami	Tsunami<br>Ci sono aree nel mondo in cui lo tsunami è più frequente.<br>There are areas in the world where tsunamis are more frequent.
Weather	Tempo<br>Quali sono le previsioni del tempo di domani?<br>What’s tomorrow’s weather forecast?
Lake	Lago<br>Non mi piace nuotare nel lago.<br>I don’t like swimming in the lake.
Humid	Umido<br>Oltre a fare caldo, è anche umido.<br>Apart from being hot, it is also humid.
Thunder storm	Temporale<br>Guarda! Sta arrivando un temporale.<br>Look! A thunderstorm is coming.
Soil	Terreno<br>Questo terreno è adatto a coltivare vegetali?<br>Is this soil good to grow vegetables?
Rock	Sasso<br>Ho provato a scavare quel terreno, ma ho trovato solo un grosso sasso.<br>I tried to dig that soil, but I only found a very big rock.
Dirt	Fango<br>I maiali amano rotolarsi nel fango.<br>Pigs love rolling in the dirt.
Drought	Siccità<br>Nel deserto del Sahara, la siccità è una caratteristica del clima.<br>In the Sahara desert, drought is a feature of the climate.
Marsh	Palude<br>Durante la loro escursione, caddero nella palude.<br>During their excursion, they fell into the marsh.
Seaside	Mare<br>Non riesco a immaginare una vacanza in un posto diverso dal mare.<br>I can’t imagine a vacation in another place than the seaside.
Leaf	Foglia<br>L’ultima foglia sull’albero è un segno che l’autunno sta arrivando.<br>The last leaf on the tree is a sign that autumn is coming.
Wilt	Appassire<br>Se non vuoi far appassire queste rose, dai loro dell’acqua.<br>If you don’t want these roses to wilt, give them water.
Branch	Ramo<br>Un grande ramo di quell’albero è stato tagliato durante il temporale.<br>A big branch of that tree was cut during the thunderstorm.
Bloom	Fiorire<br>Mi sento sereno quando vedo la natura fiorire.<br>I feel peaceful when I see nature bloom.
Rainy	Piovoso<br>Aprile è un mese piovoso in Italia.<br>April is a rainy month in Italy.
Lightning	Fulmine<br>Un fulmine ha colpito il vecchio albero nel parco.<br>A lightning struck the old tree in the park.
Shower	Acquazzone<br>C'è un 50% di possibilità di acquazzoni.<br>There is a 50% chance of showers.
Humidity	Umidità<br>Il livello di umidità è molto alto in alcune città del mondo.<br>The humidity level is very high in some cities in the world.
Sleet	Nevischio<br>Niente panico! Non è neve, è solo nevischio.<br>Don’t panic! This is not snow, it’s just sleet.
Below freezing	Sotto zero<br>Sulle montagne le temperature vanno facilmente sotto zero.<br>On the mountains temperatures go easily below freezing.
Wind chill	Vento freddo<br>C’è un vento freddo terribile oggi. Metti la sciarpa se esci.<br>There is a terrible wind chill today. Put on your scarf if you go out.
Frost	Brina<br>In inverno il vetro della mia macchina è pieno di brina la mattina.<br>In winter the glass of my car is full of frost in the morning.
Willow tree	Salice<br>Il salice nel giardino dei miei genitori mi ricorda la mia infanzia.<br>The willow tree in my parents’ garden reminds me of my childhood.
Maple tree	Acero<br>Sono affascinata dai colori dell’acero in autunno.<br>I am fascinated by the colours of the maple tree in autumn.
Root	Radice<br>Le radici di questo albero stanno rompendo il cemento del marciapiede.<br>The roots of this tree are breaking the concrete of the sideway.
Pine tree	Pino<br>I miei genitori hanno un vecchio pino in mezzo al giardino.<br>My parents have an old pine tree in the middle of the garden.
Oak tree	Quercia<br>A volte mi sdraio all’ombra di quella grande quercia.<br>Sometimes I lie down at the shadow of that big oak tree.
Cedar tree	Cedro<br>C’era una pecora tra i cedri.<br>A sheep stood among the cedar trees.
Landscape	Paesaggio<br>Turner fu uno dei pittori di paesaggi più famosi d’Inghilterra.<br>Turner was one of England's most famous landscape painters.
Highlands	Highlands<br>Una delle zone più belle della Gran Bretagna sono le Highlands scozzesi.<br>One of the most beautiful areas of Britain are the Highlands of Scotland.
Rural	Rurale<br>I bambini delle aree rurali devono spesso viaggiare per km. per andare a scuola.<br>Children from rural areas often have to travel miles to go to school.
Nature	Natura<br>Uno degli esempi più spaventosi della forza della natura è il tornado.<br>One of the most frightening examples of the force of nature are tornados.
Environment	Ambiente<br>Molte persone sono molto preoccupate per la distruzione dell'ambiente.<br>Many people are very concerned about the destruction of the environment.
View	Vista<br>Ho acquistato questa casa per la sua fantastica vista sulle montagne.<br>I bought this house because of its fantastic view over the mountains.
Five	Cinque<br>“Sei pronta? “Si, tra cinque minuti!”<br>"Are you ready? “Yes, in five minutes!”
Nineteen	Diciannove<br>Ora hai diciannove anni. Il prossimo anno non sarai più un teenager.<br>Now you are nineteen. Next year you will not be a teenager anymore.
Seventeen	Diciassette<br>Dal momento che hai diciassette anni, puoi iniziare a pensare all’Università.<br>Since you are seventeen, you can start thinking about University.
Eighteen	Diciotto<br>Compiere diciotto anni è un momento molto importante della vita.<br>Turning eighteen is a very important moment in life.
Ten	Dieci<br>Conto fino a dieci. Se non vieni qui subito, mi arrabbio.<br>I count up to ten. I you don’t come here immediately, I will get angry.
Twelve	Dodici<br>Questa classe ha solo dodici studenti.<br>This class has only twelve students.
Two	Due<br>Un tavolo per due, per favore.<br>A table for two, please.
Two hundred	Duecento<br>Per arrivare a quella chiesa devi salire duecento gradini.<br>To get to that church you will have to climb two hundred steps.
Nine	Nove<br>Benvenuti! Avete la stanza numero nove.<br>Welcome! Your room is number nine.
Nine hundred	Novecento<br>Ieri ho visto novecento persone al concerto a Milano. Era pazzesco!<br>Yesterday I saw nine hundred people at the concert in Milan. It was amazing!
Eight	Otto<br>Le lezioni iniziano tutte le mattine alle otto.<br>Lessons start every morning at eight.
Fourteen	Quattordici<br>Ho fatto la mia prima vacanza con gli amici a quattordici anni.<br>I had my first vacation with friends at fourteen.
Four	Quattro<br>Quattro ruote sono meglio che due!<br>Four wheels are better than two!
Four hundred	Quattrocento<br>Quattrocento anni fa l’Italia non era ancora unita.<br>Four hundred years ago Italy was not yet united.
Fifteen	Quindici<br>Il pacco arriverà tra quindici giorni.<br>The parcel is due to arrive in fifteen days.
Fifth	Quinto<br>È il quinto di sei figli.<br>He is the fifth of six children.
Sixteen	Sedici<br>È tornato al suo paese dopo sedici anni all’estero.<br>He went back to his country after sixteen years abroad.
Six	Sei<br>Sei anni dopo l’operazione, non cammina ancora bene.<br>Six years after the surgery, she still does not walk well.
Sixth	Sesto<br>È arrivato sesto alla gara. Dovrebbe allenarsi di più.<br>He arrived sixth in the race. He should train more.
Seven	Sette<br>Conosci la storia di Biancaneve e i sette nani?<br>Do you know the story of Snow White and the seven Dwarfs?
Third	Terzo<br>Il terzo piano dell'edificio è in affitto.<br>The third floor of the building is for rent.
Three	Tre<br>Vado in palestra tre volte alla settimana.<br>I go to the gym three times a week.
Thirteen	Tredici<br>Molti superstiziosi non amano il numero tredici. Chissà perché.<br>Many superstitious do not like number thirteen. I wonder why.
Eleven	Undici<br>Ho visto quel film undici volte. Sono decisamente ossessionata!<br>I saw that movie eleven times. I'm definitely obsessed!
One	Uno<br>Il gelato qui è delizioso. Ne vuoi uno?<br>Ice cream here is delicious. Do you want one?
Twenty	Venti<br>Stasera avremo venti persone a cena.<br>We'll be twenty people for dinner tonight.
